Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
Desi-Rodriguez,2,1,69.47,116.88,98.84,73,2018,31,29,30.3,0.498,1.81,0.373,2.52,0.736,1.06,3.74,2.03,1.03,0.48,2.39,2,17.48,0,0,0.3,1.02,0.52,0.26,20,11,0.645,2.84,1.14,3.98,0.589,0.566,26.43,160.67,2.08,1.32,116.8,104.1,21.08,78,220,82,4,22.19028063,Prospect,NA,NA,NA,NA
DeAndre-Ayton,3,1,67.15,118.05,100.35,235,2018,35,35,33.5,0.612,0.34,0.343,4,0.733,3.37,8.2,1.63,0.57,1.89,2.31,1.97,20.11,24,0,0.33,0.83,0.29,0.42,27,8,0.771,5.6,2.17,7.77,0.65,0.625,26.6,168.78,2.69,1.56,130.3,97.5,30.6,85,250,89,1,19.85763176,Prospect,NA,NA,NA,NA
Rawle-Alkins,2,1,66.02,118.39,95.08,235,2017,37,36,28,0.463,1.19,0.37,2,0.733,1.54,3.41,2.05,0.89,0.46,2.19,1.81,10.92,2,0,0.224,1.13,0.49,0.33,32,5,0.865,2.32,1.82,4.15,0.566,0.534,21.19,156.52,1.64,1.31,113.2,98.1,17.18,77,220,80.75,2,20.58863792,Prospect,NA,NA,NA,NA
Andrew-Jones,1,1,65.21,109.51,94.08,60,2018,10,8,22.6,0.528,1.9,0.475,2.2,0.733,0.4,2,2,0.6,0.2,1.6,1.7,13.5,0,0,0.232,1.18,0.35,0.34,7,3,0.7,0.9,0.4,1.3,0.654,0.635,26.13,173.64,1.66,1.52,122.9,97.2,22.76,76,195,78.5,2,20.47638604,Prospect,NA,NA,NA,NA
Nick-King,2,2,66.52,111.32,96.64,326,2018,33,33,32.9,0.495,1.27,0.389,4.06,0.732,2.36,6.06,1.97,0.7,0.21,1.52,2.85,21.03,11,0,0.359,0.69,0.24,0.35,25,8,0.758,3.39,2.04,5.43,0.569,0.535,33.12,161.63,4.81,1.33,111.8,97.2,24.54,79,225,84,4,22.82272416,Prospect,NA,NA,NA,NA
Ethan-Thompson,1,1,65.52,108.24,101.25,239,2018,32,32,32.2,0.383,1.09,0.333,2.72,0.731,1.25,2.81,3.47,0.72,0.38,2.72,1.97,9.88,0,0,0.251,1.76,0.37,0.47,16,16,0.5,1.49,1.03,2.52,0.51,0.453,18.59,144.78,1.11,1.25,107,106.4,12.32,77,190,77,1,19.07734428,Prospect,NA,NA,NA,NA
Khadeen-Carrington,1,1,67.53,109.41,95.77,73,2017,33,32,33.3,0.424,1.91,0.382,3.7,0.731,0.58,2.52,2.94,1.15,0.3,1.88,2.27,17.06,0,0,0.328,1.29,0.51,0.37,21,12,0.636,2.73,1.34,4.07,0.536,0.494,26.56,153.61,0.95,1.26,111.2,103.7,18.13,76,195,78,4,22.66119097,Prospect,NA,NA,NA,NA
Chimezie-Metu,3,1,67.68,114.53,100.48,242,2018,34,33,31,0.523,0.35,0.3,3.26,0.73,1.88,5.56,1.56,0.79,1.74,2.56,2,15.68,11,0,0.271,0.78,0.4,0.39,23,11,0.676,2.72,1.9,4.62,0.574,0.538,25.82,155.32,3.16,1.36,113.1,98,22.18,83,215,83,3,21.19370294,Prospect,NA,NA,NA,NA
Nickeil-Alexander-Walker,1,1,68.74,115.3,99.28,38,2018,33,33,25.5,0.449,1.76,0.392,1.39,0.73,0.7,3.15,1.48,0.85,0.55,1.48,1.58,10.67,0,0,0.186,0.94,0.54,0.23,21,12,0.636,1.33,1.21,2.55,0.575,0.554,22.01,157.13,2.3,1.28,106.9,101.7,15.95,77,210,81,1,19.74537988,Prospect,NA,NA,NA,NA
Isaiah-Roby,2,1,67.39,110.61,97.07,57,2018,32,13,24,0.565,0.53,0.405,2.28,0.73,1.66,4.59,1.66,0.62,1.97,3.22,1.5,8.75,4,0,0.187,1.1,0.42,0.6,21,11,0.656,1.98,1.63,3.61,0.65,0.616,17.36,170.02,1.69,1.67,121.4,94.7,20.9,80,226,87,2,20.32306639,Prospect,NA,NA,NA,NA
