Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
AJ-Davis,2,2,64.45,98.85,93.23,307,2018,31,31,33,0.436,0.97,0.33,3.58,0.689,1.94,5.65,2.16,0.94,0.39,2.1,2.1,12.23,8,0,0.28,1.03,0.45,0.59,18,13,0.581,1.75,2.38,4.13,0.542,0.491,21.72,145.5,2.14,1.39,107.6,92.5,17.27,81,215,83.5,4,23.21423682,Prospect,NA,NA,NA,NA
Obi-Enechionyia,3,2,65.89,106.96,98.14,27,2016,32,25,25.3,0.424,1.75,0.386,1.38,0.688,0.97,2.78,0.56,0.34,0.94,2.66,0.91,11,1,0,0.18,0.62,0.38,0.22,21,11,0.656,1.45,1.18,2.62,0.538,0.519,22.96,149.79,2.22,1.19,108.5,101.3,15.99,82,220,82,4,22.69952088,Prospect,NA,NA,NA,NA
Malik-Pope,2,2,68.81,110.46,96.37,5,2018,32,32,26.3,0.52,0.44,0.359,1.91,0.685,2.09,4.56,1.19,0.72,1.16,2.22,1.81,12.84,2,0,0.234,0.66,0.4,0.28,21,11,0.656,1.83,1.82,3.65,0.563,0.542,24.56,156.45,3.85,1.27,110.4,94.3,20.53,82,220,86,4,21.85078713,Prospect,NA,NA,NA,NA
Miles-Bridges,2,1,66.88,111.41,95.9,100,2017,28,27,32,0.486,2,0.389,2.25,0.685,1.46,6.82,2.07,0.68,1.54,1.86,2.36,16.89,7,0,0.324,0.88,0.29,0.25,14,14,0.5,2.05,1.67,3.72,0.58,0.563,27.41,155.99,3.14,1.3,109.2,96.9,22.22,79,225,80.75,2,20.19712526,Prospect,NA,NA,NA,NA
Mohamed-Bamba,3,1,65.21,109.51,94.08,60,2018,30,29,30.2,0.541,0.47,0.275,2.7,0.681,3.2,7.33,0.5,0.77,3.63,2.53,1.53,12.9,15,0,0.209,0.33,0.5,0.44,16,14,0.533,2.49,2.46,4.95,0.593,0.567,21.3,149.59,4.15,1.43,118.4,88.4,26.37,83,225,93,1,20.05475702,Prospect,NA,NA,NA,NA
Justin-Johnson,2,2,67.05,108.59,109.25,331,2016,34,26,28.9,0.601,0.03,0.111,3.29,0.675,3,4.94,1.41,0.47,0.56,2.15,1.71,14.91,10,0,0.265,0.83,0.28,0.51,18,16,0.529,3.75,0.83,4.59,0.623,0.602,23.49,138.64,2.67,1.55,125.1,107.6,24.5,79,245,80,4,22.02327173,Prospect,NA,NA,NA,NA
Chuma-Okeke,3,1,72.58,115.44,96.74,255,2018,34,0,21.6,0.458,1,0.391,1.09,0.673,2.03,3.76,1.12,0.68,0.74,1.94,0.79,7.5,3,0,0.143,1.41,0.85,0.27,26,8,0.765,1.75,1.28,3.03,0.561,0.542,16.19,152.12,0.22,1.27,121.9,98.6,17.57,80,230,84,1,19.78644764,Prospect,NA,NA,NA,NA
Chris-Lewis,3,2,67.04,106.66,101.93,159,2017,28,23,18.8,0.652,0,0,1.5,0.667,1.71,3.14,0.93,0.86,1.25,2.43,1.39,7.79,0,0,0.163,0.67,0.62,0.47,18,10,0.643,1.38,1.27,2.65,0.661,0.652,19.86,131.85,4.25,1.61,118,91.3,22.81,81,235,85.5,2,20.38603696,Prospect,NA,NA,NA,NA
Jalek-Felton,1,1,71.23,120.34,96.75,2,2018,22,1,9.7,0.387,0.5,0.314,0.18,0.667,0.09,0.82,1.59,0.36,0.09,0.5,1.09,2.86,0,0,0.09,1.46,0.33,0.1,16,6,0.727,0.04,0.3,0.34,0.486,0.476,19.23,136.8,0.3,1.02,92.5,101.6,9.47,75,190,80,1,20.08487337,Prospect,NA,NA,NA,NA
Justin-Simon,1,1,69.35,106.48,96.17,75,2018,33,33,36.1,0.473,0.45,0.417,2.55,0.661,1.15,5.94,5.06,2.48,0.82,2.73,2.88,12.15,9,0,0.367,1.76,0.86,0.4,16,17,0.485,1.44,2.46,3.9,0.529,0.497,20.02,155.14,1.35,1.26,102.9,95.2,17.78,77,215,83,2,22.0698152,Prospect,NA,NA,NA,NA
Lindell-Wigginton,1,1,68.93,109.94,103.37,53,2018,31,31,33,0.414,2.23,0.401,3.45,0.66,0.65,3.1,2.84,0.9,0.42,2.52,2.97,16.71,1,0,0.317,0.96,0.3,0.39,13,18,0.419,1.33,0.75,2.08,0.529,0.498,28.43,147.57,3.27,1.25,101,109.2,15.32,74,188,75.5,1,20.1779603,Prospect,NA,NA,NA,NA
Kris-Wilkes,2,1,70.35,114.95,101.43,241,2018,33,32,29.8,0.441,1.7,0.352,2.3,0.655,1.3,3.61,1.7,0.76,0.55,2.52,1.33,13.7,1,0,0.233,1.27,0.57,0.32,21,12,0.636,2.14,1.06,3.19,0.541,0.518,23.04,144.81,0.66,1.25,111.9,105.6,16.78,80,195,83,1,19.70157426,Prospect,NA,NA,NA,NA
Terance-Mann,1,1,71.25,114.29,96.52,32,2018,34,31,29.2,0.568,0.38,0.25,2.18,0.655,1.91,3.53,2.56,0.91,0.26,1.68,1.76,12.62,1,0,0.268,1.45,0.52,0.38,22,12,0.647,2.8,1.4,4.2,0.605,0.59,20.14,147.3,0.2,1.43,120.3,102.2,19.4,78,204,78.5,3,21.61806982,Prospect,NA,NA,NA,NA
Justin-Tillman,2,2,70.9,106.08,103.8,126,2018,33,33,30.6,0.557,0.82,0.329,3.09,0.654,3.3,6.61,0.45,0.33,1.03,2.36,1.7,18.94,18,0,0.286,0.27,0.2,0.35,18,15,0.545,3.48,1.42,4.9,0.602,0.588,27.83,154.04,4.46,1.4,118.8,102.1,25.54,80,220,87,4,22.32717317,Prospect,NA,NA,NA,NA
Reid-Travis,2,1,68.33,104.79,98.88,240,2017,27,27,30.1,0.579,0,0,4.37,0.652,3.44,5.41,0.52,0.52,0.19,2.37,2.07,17.41,9,0,0.277,0.25,0.25,0.6,13,14,0.481,2.68,1.03,3.71,0.603,0.579,27.69,123.09,5.79,1.55,116.7,103.2,23.91,80,245,84,4,22.51608487,Prospect,NA,NA,NA,NA
Jarron-Cumberland,1,2,63.55,114.95,92.76,63,2017,35,0,19.1,0.493,1.09,0.355,1.6,0.644,1.03,1.37,1.49,0.97,0.26,1.8,1,8.34,0,0,0.16,1.49,0.97,0.43,29,6,0.829,2.09,1.33,3.42,0.602,0.587,21.42,149.14,0.05,1.45,122,95.6,20.41,77,215,77.5,2,20.6899384,Prospect,NA,NA,NA,NA
Raymond-Spalding,3,1,69.67,112.16,96.75,67,2018,36,34,27.6,0.543,0.14,0.263,2.03,0.64,3.14,5.53,1.28,1.5,1.72,2.97,1.69,12.33,11,0,0.236,0.75,0.89,0.34,22,14,0.611,2.54,2.4,4.94,0.568,0.55,22.97,144.65,3.06,1.32,114.4,91.6,24.08,82,215,85,3,21.2238193,Prospect,NA,NA,NA,NA
Oscar-da-Silva,2,1,70.89,107.71,99.34,240,2018,35,11,24.1,0.517,0.83,0.558,1,0.636,1.51,3.14,1.14,0.43,0.86,2.74,1.54,6.23,1,0,0.126,0.74,0.28,0.37,19,16,0.543,1.02,1.08,2.11,0.622,0.614,13.09,171.08,3.14,1.46,109.9,103.4,11.69,81,210,85,1,19.69336071,Prospect,NA,NA,NA,NA
Jarred-Vanderbilt,2,1,68.76,115.81,95.36,258,2018,14,0,17,0.426,0,0,1.71,0.632,3.29,4.57,1,0.43,0.79,2.64,1.07,5.86,1,0,0.118,0.93,0.4,0.56,7,7,0.5,0.49,0.48,0.96,0.476,0.426,20.43,105.8,2.39,1.21,110.5,95.8,20.63,81,214,85,1,19.16221766,Prospect,NA,NA,NA,NA
Marvin-Bagley-III,2,1,69.67,122.44,93.58,31,2018,33,32,33.9,0.614,0.7,0.397,3.97,0.627,4,7.09,1.52,0.82,0.88,1.82,2.27,21.03,22,0,0.312,0.67,0.36,0.47,25,8,0.758,4.93,2.06,6.99,0.643,0.64,25.94,163.7,3.66,1.58,128.1,97.5,28.33,83,234,84.5,1,19.21697467,Prospect,NA,NA,NA,NA
Wenyen-Gabriel,3,1,68.76,115.81,95.36,258,2018,37,7,23.1,0.442,1.14,0.396,0.95,0.625,1.76,3.59,0.54,0.81,1.08,3.05,1.11,6.78,1,0,0.107,0.49,0.73,0.28,26,11,0.703,1.3,1.58,2.88,0.561,0.548,15.15,146.29,3.25,1.27,112.6,97.5,14.37,81,205,83,2,21.18275154,Prospect,NA,NA,NA,NA
Paschal-Chukwu,3,1,62.91,107.03,92.21,382,2018,37,37,27.4,0.655,0,0,1.49,0.625,2.78,4.05,0.41,0.7,2.49,3.14,1.08,5.38,3,0,0.105,0.38,0.65,0.8,23,14,0.622,1.67,2.19,3.86,0.655,0.655,9.99,127.95,3.22,1.81,122.5,94.2,16.67,86,228,90,3,23.12936345,Prospect,NA,NA,NA,NA
Nick-Ward,3,1,67.04,119.19,93.77,100,2018,35,34,18.9,0.648,0.03,1,3.14,0.621,2.69,4.43,0.51,0.31,1.34,2.34,1.66,12.43,8,0,0.182,0.31,0.19,0.71,30,5,0.857,2.71,1.74,4.45,0.651,0.65,29.77,226.95,7.14,1.74,121.7,89.3,30.33,80,245,86,2,20.74469541,Prospect,NA,NA,NA,NA
Hamidou-Diallo,1,1,68.76,115.81,95.36,258,2018,37,37,24.8,0.428,0.7,0.338,2.08,0.611,0.86,2.76,1.24,0.76,0.35,2.59,1.38,10.03,1,0,0.18,0.9,0.55,0.4,26,11,0.703,1.19,1.29,2.48,0.498,0.47,22.58,137.69,2.22,1.19,103.9,102.2,13.35,77,198,83,2,19.83572895,Prospect,NA,NA,NA,NA
Markell-Johnson,1,1,71.43,116.33,101.82,36,2018,26,24,29.1,0.46,1.04,0.409,1.62,0.609,0.58,2.81,7.31,1.69,0.23,2.42,3.23,8.88,4,0,0.354,2.26,0.52,0.39,17,9,0.654,1.27,1.09,2.36,0.553,0.537,18.44,147.8,5.47,1.31,107.5,101.7,15.9,73,165,75,2,19.76728268,Prospect,NA,NA,NA,NA
PJ-Washington,2,1,68.76,115.81,95.36,258,2018,37,30,27.4,0.517,0.14,0.238,3.41,0.606,1.81,3.89,1.54,0.76,0.84,2.7,1.92,10.78,3,0,0.191,0.8,0.39,0.8,26,11,0.703,1.9,1.62,3.52,0.558,0.527,20.72,136.12,3.27,1.54,110,100.1,16.78,79,236,87,1,19.77275838,Prospect,NA,NA,NA,NA
Trevon-Duval,1,1,69.67,122.44,93.58,31,2018,37,34,29.8,0.428,0.84,0.29,1.43,0.596,0.54,1.43,5.59,1.46,0.14,2.41,2.76,10.27,2,0,0.316,2.03,0.53,0.26,29,8,0.784,1.56,1.54,3.1,0.489,0.473,21.2,131.3,3.23,1.1,104.3,102.2,13.03,75,186,81.5,1,19.8275154,Prospect,NA,NA,NA,NA
Marques-Bolden,3,1,69.67,122.44,93.58,31,2018,29,2,12.9,0.615,0,0,0.55,0.593,1.31,2.28,0.59,0.31,0.97,1.38,0.55,3.86,1,0,0.074,1.06,0.56,0.35,23,6,0.793,0.87,0.76,1.63,0.617,0.615,13.64,120.8,1.24,1.44,125.5,95.6,18.71,83,246,89,2,20.12320329,Prospect,NA,NA,NA,NA
Robert-Williams,3,1,64.54,108.75,97.26,61,2017,31,17,25.8,0.556,0.06,0.111,1.9,0.59,3.03,5.1,1.42,0.68,2.48,1.84,1.74,11.84,10,0,0.245,0.81,0.39,0.36,16,15,0.516,2.04,1.65,3.68,0.569,0.56,23.57,125.75,3.22,1.33,113.5,94.9,25.32,82,241,89.5,2,20.62149213,Prospect,NA,NA,NA,NA
Kenrich-Williams,2,1,67.07,114.49,96.97,211,2017,37,36,32.7,0.495,1.22,0.363,1.57,0.586,3.3,6.32,2.73,1.49,0.65,2.49,1.19,11.38,18,1,0.261,2.3,1.25,0.31,22,15,0.595,3.52,2.14,5.66,0.572,0.565,17.11,144.41,1.98,1.31,125.2,97.9,21.33,79,210,80,4,23.49623546,Prospect,NA,NA,NA,NA
Jamuni-McNeace,3,1,75.48,114.61,100.45,4,2018,32,5,18,0.671,0,0,0.91,0.569,1.41,4,0.34,0.59,1.44,2.44,1.53,6.78,1,0,0.11,0.22,0.39,0.36,18,14,0.562,0.82,0.96,1.78,0.661,0.671,17.04,124.01,6.62,1.55,108.5,99.4,17.79,82,215,88,4,22.18480493,Prospect,NA,NA,NA,NA
Charles-Matthews,1,1,64.86,114.72,90.51,1,2018,41,41,30.1,0.495,0.83,0.318,2.12,0.558,1.29,4.24,2.39,0.73,0.63,2.15,2.05,12.95,4,0,0.277,1.17,0.36,0.38,33,8,0.805,2.16,2.51,4.67,0.544,0.536,25.12,137.06,1.61,1.28,105.9,95.6,17.79,78,200,81,2,21.54140999,Prospect,NA,NA,NA,NA
Angel-Delgado,3,1,67.53,109.41,95.77,73,2017,33,33,33,0.543,0,0,3.3,0.556,5.03,8.03,2.21,0.64,0.33,2.52,3,15.24,27,0,0.31,0.74,0.21,0.54,21,12,0.636,2.61,1.82,4.44,0.551,0.543,24.77,109.88,4.68,1.39,109.9,98.9,22.7,82,245,84,4,23.52908966,Prospect,NA,NA,NA,NA
Donta-Hall,3,1,68.71,108.65,95.24,253,2018,34,31,23.7,0.726,0,0,1.76,0.556,2.24,4.35,0.59,0.71,2,1.74,1.26,10.65,5,0,0.198,0.47,0.56,0.52,19,15,0.559,2.55,1.68,4.24,0.698,0.726,18.69,128.15,3.65,1.74,127.7,95,25.31,81,232,88,3,20.81587953,Prospect,NA,NA,NA,NA
Javin-DeLaurier,3,1,69.67,122.44,93.58,31,2018,33,5,12.7,0.643,0.03,0.125,0.64,0.553,1.64,2.33,0.48,0.64,0.58,2.24,0.7,3.39,0,0,0.061,0.7,0.91,0.54,25,8,0.758,0.87,0.9,1.76,0.636,0.65,12.59,132.05,2.92,1.6,122.2,94.5,17.45,82,231,84,2,20.15058179,Prospect,NA,NA,NA,NA
Johnathan-Williams,3,2,69.42,118.09,95.05,332,2018,37,36,29.2,0.563,0.22,0.229,2.54,0.54,2.35,6.11,1.59,0.73,1.08,2.65,2.16,13.41,15,0,0.228,0.74,0.34,0.5,32,5,0.865,2.54,2.46,5,0.573,0.574,23.56,133.17,3.78,1.42,112.1,93,20.72,81,228,85.5,4,23.02806297,Prospect,NA,NA,NA,NA
Daniel-Gafford,3,1,69.68,116.35,101.65,254,2018,35,26,22.6,0.605,0,0,2.43,0.528,2.17,4,0.69,0.54,2.17,3.26,1.06,11.8,3,0,0.187,0.65,0.51,0.59,23,12,0.657,2.55,1.29,3.84,0.594,0.605,23.94,113.31,2.61,1.52,120.3,99.8,25.06,83,217,86,1,19.6659822,Prospect,NA,NA,NA,NA
Jeremiah-Tilmon,3,1,65.69,111.88,97.05,56,2018,33,33,19.4,0.562,0,0,1.21,0.526,1.94,2.24,0.45,0.24,1,3.67,2.12,8.12,2,0,0.162,0.21,0.11,0.37,20,13,0.606,0.4,0.98,1.38,0.56,0.562,25.12,108.79,9.75,1.32,96.3,100.8,13.66,82,252,85.5,1,19.51540041,Prospect,NA,NA,NA,NA
Jaesean-Tate,2,1,65.18,115.58,94.83,103,2015,35,16,22,0.589,0.09,0.158,1.51,0.52,1.89,3.11,0.34,0.89,0.6,2.51,1.2,8.8,0,0,0.143,0.29,0.74,0.48,24,11,0.686,1.74,1.61,3.35,0.587,0.596,20.47,126.63,4.37,1.44,112.8,93.2,18.99,76,230,80,4,22.5927447,Prospect,NA,NA,NA,NA
Kostas-Antetokounmpo,2,2,66.27,108.36,108.34,16,2018,29,6,15.1,0.574,0.07,0.133,1.14,0.516,0.83,2.03,0.45,0.24,1.07,2.28,1.34,5.21,2,0,0.097,0.33,0.18,0.63,13,16,0.448,0.21,0.5,0.71,0.575,0.584,21.02,122.32,7.29,1.5,95.8,105,13.1,82,190,85.75,2,20.04380561,Prospect,NA,NA,NA,NA
Abdul-Ado,3,1,67.31,110.53,96.92,261,2018,36,36,26.5,0.615,0,0,1.61,0.513,2.86,3.58,0.36,0.78,1.81,2.58,1.97,7.83,3,0,0.129,0.18,0.39,0.62,24,12,0.667,1.12,1.84,2.95,0.598,0.615,16.35,112.87,6.72,1.55,105.4,96.7,16.01,83,250,88,2,20.64065708,Prospect,NA,NA,NA,NA
Herb-Jones,2,1,68.71,108.65,95.24,253,2018,35,13,21.2,0.408,0.2,0.269,0.69,0.5,0.83,2.66,1.37,1.26,0.63,2.69,1.6,4.2,0,0,0.119,0.86,0.79,0.34,20,15,0.571,0.38,1.39,1,0.446,0.433,14.86,117.77,3.22,1.04,83.8,97.3,8.66,79,198,84,1,19.65229295,Prospect,NA,NA,NA,NA
Austin-Wiley,2,1,73.58,111.87,103.35,255,2017,23,22,18,0.584,0,0,2.43,0.491,2.26,2.43,0.22,0.22,1.35,2.57,1.78,8.78,1,0,0.127,0.12,0.12,0.91,11,12,0.478,0.63,0.27,0.9,0.564,0.584,24.63,107.52,8.57,1.62,103.4,109.5,18.07,83,260,89,2,19.39493498,Prospect,NA,NA,NA,NA
Anas-Mahmoud,3,1,67.94,117.24,91.73,67,2017,31,16,18.7,0.623,0,0,0.77,0.462,1.52,2.48,0.84,0.87,2.1,2.65,1.13,5.68,1,0,0.118,0.74,0.77,0.43,22,9,0.71,0.94,1.51,2.45,0.6,0.623,15.46,108.45,3.11,1.44,111.6,89.2,19.23,84,215,86.5,4,23.07460643,Prospect,NA,NA,NA,NA
Emmanuel-Akot,1,1,67.15,118.05,100.35,235,2018,31,4,10.4,0.389,0.29,0.375,0.16,0.455,0.35,0.74,0.84,0.19,0.1,0.84,0.61,1.81,0,0,0.053,1.37,0.32,0.2,23,8,0.742,0.09,0.32,0.41,0.473,0.472,12.54,121.84,0.53,1.04,95.3,106.3,6.48,79,200,80,1,19.20876112,Prospect,NA,NA,NA,NA
Marcus-Lee,3,1,63.97,118.34,95.79,258,2014,24,4,6.5,0.619,0,0,0.29,0.438,0.88,0.62,0.08,0,0.58,0.79,0.17,2.46,0,0,0.045,0.5,0,0.38,17,7,0.708,0.48,0.25,0.73,0.595,0.619,16.89,105.65,1.73,1.4,130.4,100.8,20.85,83,225,87,4,23.71252567,Prospect,NA,NA,NA,NA
Udoka-Azubuike,3,1,68.76,120.85,97.36,54,2018,36,34,23.6,0.77,0,0,1.25,0.417,2.42,4.58,0.67,0.56,1.67,3,1.75,12.97,6,0,0.219,0.38,0.32,0.39,28,8,0.778,2.93,1.56,4.49,0.718,0.77,22.82,118.67,5.5,1.7,124.4,97.6,26.91,84,280,89,2,18.70499658,Prospect,NA,NA,NA,NA
Sacha-Killeya-Jones,3,1,72.02,119.07,91.35,258,2017,14,0,6.9,0.586,0,0,0.43,0.4,0.86,1.36,0.14,0.07,0.71,1.36,0.5,2.86,0,0,0.04,0.29,0.14,0.52,14,0,1,0.16,0.27,0.43,0.554,0.586,19.56,98.62,5.43,1.38,108.1,86.9,17.29,82,221,86,2,19.80835044,Prospect,NA,NA,NA,NA
Chris-Wray,2,2,64.69,103.74,110.1,219,2018,24,23,32,0.622,0,0,1.12,0.321,3,5.25,3.71,2.04,2.08,2.54,1.92,9.62,4,0,0.317,1.93,1.07,0.51,15,9,0.625,1.96,1.68,3.64,0.566,0.622,18,94.34,1.85,1.41,117.4,93.9,22.65,80,205,86,4,23.58658453,Prospect,NA,NA,NA,NA
Ike-Obiagu,3,1,71.25,114.29,96.52,32,2018,34,14,10.7,0.569,0,0,0.35,0.316,0.97,1.59,0.06,0.21,2.09,1.76,0.74,2.29,0,0,0.036,0.08,0.28,0.66,22,12,0.647,0.01,0.87,0.86,0.513,0.569,13.33,88.48,6.32,1.34,90.6,91.9,14.02,84,240,89.25,1,19.92881588,Prospect,NA,NA,NA,NA
Zach-Smith,1,1,65.4,112.38,103.66,70,2017,8,0,1.9,0,0,0,0,0,0.12,0.12,0,0,0,0.12,0.12,0,0,0,0,0,0,0,3,5,0.375,0.11,0.01,0.12,0,0,21.31,0,6.96,0,12.6,122.9,14.27,75,200,84.5,2,22.40383299,Prospect,NA,NA,NA,NA
