Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
Tony-Gaffney,3,2,68.43,105.13,102.91,21,2009,30,30,33.9,0.542,0.37,0.333,2.13,0.646,3.17,7.07,1.7,2.03,3.83,2.03,1.6,11.5,12,0,0.243,1.06,1.27,0.4,12,18,0.4,2.51,2.36,4.87,0.583,0.564,16.86,152.2,1.33,1.39,117.9,91.7,24.8,80,215,85.5,4,24.54483231,International,0,0,0,0
Tory-Jackson,1,1,67.17,114.99,99.61,69,2009,36,34,33.9,0.42,0.81,0.358,1.86,0.638,1.22,3.17,4.92,1.19,0.14,2.78,2.33,10.56,0,0,0.323,2.11,0.51,0.31,21,15,0.583,1.73,1.27,3,0.49,0.463,19.22,141.62,2.72,1.12,103.4,104.5,14.01,71,205,75.75,4,22.33538672,D-League,0,0,0,0
Russell-Westbrook,1,1,64.1,118.02,88.08,241,2008,39,34,33.8,0.465,0.67,0.338,2.74,0.713,1.56,2.36,4.28,1.62,0.18,2.38,2.46,12.74,1,0,0.339,1.74,0.66,0.38,35,4,0.897,3.43,3,6.43,0.538,0.499,21.89,151.65,1.22,1.27,113.1,92.4,18.36,75,200,79.75,2,19.55099247,NBA,14.07,6.56,20.63,47.59
Marquis-Daniels,2,1,66.59,107.72,94.1,255,2003,34,34,33.8,0.513,0.88,0.306,3.15,0.673,1.85,4.32,3.32,2.29,0.24,2,3,18.38,3,0,0.406,1.11,0.76,0.33,22,12,0.647,3.84,2.53,6.37,0.567,0.544,28.22,149.17,2.38,1.31,112.9,92.4,25.06,78,200,82,4,22.39561944,NBA,5.07,1.8,6.87,34.88
Steve-Novak,2,1,68.14,112.81,97.44,68,2006,31,31,33.8,0.477,3.9,0.467,2.39,0.974,1.1,4.81,1.26,0.65,0.13,2.06,1.03,17.45,3,0,0.255,1.22,0.62,0.21,20,11,0.645,4.69,1.37,6.07,0.678,0.643,20.32,191.74,0.57,1.49,139.4,102.2,22.61,82,225,81.5,4,22.96783025,NBA,2.72,0.35,3.07,30.68
Jermareo-Davidson,3,1,63.35,112.79,100.31,253,2006,31,31,33.8,0.477,0,0,3.42,0.746,2.77,6.13,1.23,0.87,1.87,2.19,2.16,14.26,12,0,0.272,0.57,0.4,0.4,18,13,0.581,2.43,1.62,4.05,0.527,0.477,24.12,122.38,4.14,1.26,110,99.8,21.29,82,230,88,4,22.54072553,NBA,0.35,0.29,0.16,22.06
Will-Cherry,1,2,64.21,103.7,96.94,80,2012,32,32,33.8,0.445,1.59,0.372,4.12,0.776,0.62,3.28,3.28,2.59,0.34,2.5,2.81,15.78,1,0,0.341,1.17,0.92,0.47,25,7,0.781,3.02,2.3,5.32,0.57,0.515,26.28,159.35,1.91,1.4,108.3,89.8,21.53,73,181,76,4,22.31074606,NBA,0.13,0.11,0.02,5.6
Austin-Freeman,1,1,63.4,114.21,96.56,66,2011,32,32,33.8,0.476,1.94,0.358,2.94,0.87,0.66,3.03,2.44,0.72,0.16,1.81,1.69,17.62,0,0,0.349,1.44,0.43,0.25,21,11,0.656,3.9,0.97,4.88,0.587,0.548,26.52,170.43,0.19,1.31,119.8,106.5,20.93,75,226,82,4,22.0698152,International,0,0,0,0
DJ-Richardson,1,1,64.57,110.6,94.78,3,2013,36,36,33.8,0.363,2.31,0.322,2.08,0.815,0.69,3.17,1.61,1.33,0.17,1.97,1.39,12.28,0,0,0.233,1.16,0.96,0.24,23,13,0.639,2.37,1.54,3.91,0.508,0.469,20.54,150.01,0.94,1.13,108.6,100.2,15.03,75,195,76,4,22.30253251,International,0,0,0,0
Daniel-Bejarano,1,2,64.94,110.52,107.01,209,2014,32,32,33.8,0.364,1.91,0.321,4.19,0.793,2.28,6.06,3.28,1.09,0.59,1.84,1.81,16.34,9,0,0.349,1.81,0.6,0.38,16,16,0.5,2.78,1.52,4.3,0.493,0.432,27.73,147.84,1.13,1.16,111.6,102.6,21.41,76,202,77,4,23.58658453,International,0,0,0,0
Travis-Releford,1,1,66.41,112.75,87.52,54,2013,37,37,33.8,0.574,1.05,0.415,2.43,0.789,1.16,2.68,2.57,1.27,0.24,1.97,1.59,11.86,0,0,0.254,1.61,0.8,0.42,31,6,0.838,3.89,2.28,6.18,0.677,0.646,15.61,177.84,0.34,1.63,129.1,94.5,17.88,78,205,81.5,5,23.27173169,International,0,0,0,0
David-Moss,2,2,64.73,101.12,102.89,202,2006,21,21,33.8,0.457,1.05,0.431,3.33,0.769,1.33,4.24,3.95,1.57,0.57,2.33,3.19,16.57,1,0,0.418,1.24,0.49,0.33,13,8,0.619,1.49,1.22,2.71,0.538,0.496,28.72,165.77,1.7,1.24,104.4,98,21.01,77,210,82,4,22.72689938,International,0,0,0,0
Marcus-Moore,2,1,68.74,101.49,105.79,244,2003,18,16,33.8,0.349,2.5,0.321,4.5,0.75,0.61,4.78,4.67,1.67,0.33,1.94,3.78,18.22,2,0,0.394,1.24,0.44,0.37,6,12,0.333,0.9,0.58,1.48,0.482,0.427,31.04,142.09,1.82,1.13,98.9,104.8,17.3,78,208,80.5,4,23.43326489,International,0,0,0,0
Larry-Anderson,1,2,68.66,106.72,100.06,110,2011,28,27,33.8,0.524,0.54,0.294,3.46,0.674,1.89,4.39,3.25,1.86,0.71,2.5,2.46,14.29,4,0,0.332,1.32,0.75,0.52,20,8,0.714,2.62,2.04,4.66,0.582,0.551,21.23,149.14,0.86,1.45,115.3,93.9,21.25,77,210,82,4,22.56810404,International,0,0,0,0
Brandon-Fields,1,2,68.71,112.82,102.62,345,2010,34,34,33.8,0.431,1.88,0.333,2.38,0.618,0.44,3.44,2.44,0.97,0.29,1.24,1.65,14.5,0,0,0.261,1.48,0.59,0.32,21,13,0.618,2.45,0.94,3.39,0.529,0.51,22.4,138.23,0.06,1.22,109.8,107,16.52,76,195,78.5,4,21.79876797,International,0,0,0,0
Lawrence-Kinnard,2,2,66.39,109.44,95.71,306,2009,34,34,33.8,0.446,1.32,0.306,1.82,0.602,2.47,6.71,1.24,1.06,0.65,2.29,1.35,14.03,13,0,0.258,0.91,0.78,0.25,22,12,0.647,2.47,2.45,4.92,0.514,0.5,23.16,135.38,1.55,1.15,108.8,93.6,20.07,80,210,82.5,4,22.89938398,International,0,0,0,0
Stephen-Curry,1,2,70.03,105.13,93.08,269,2009,34,33,33.7,0.455,3.82,0.387,6.47,0.876,0.62,3.82,5.59,2.53,0.24,2.38,3.71,28.65,4,0,0.534,1.51,0.68,0.37,27,7,0.794,7.2,3.05,10.25,0.605,0.55,38.37,171.82,0.06,1.42,122.9,88.2,35.3,75,190,75.5,3,21.21560575,NBA,17.92,6.38,24.3,44.96
LaMarcus-Aldridge,3,1,63.94,117.52,91.74,60,2006,37,37,33.7,0.569,0,0,3.16,0.646,3.65,8.16,0.54,1.35,1.97,2.49,1.59,15,22,0,0.243,0.34,0.85,0.47,30,7,0.811,3.89,3.98,7.88,0.589,0.569,21.16,121.52,3.73,1.44,120,83.3,26.02,83,260,88.75,2,20.8678987,NBA,13.78,6.67,20.45,40.77
Jameer-Nelson,1,2,66.12,118.88,91.22,24,2004,32,32,33.7,0.475,2.28,0.39,3.69,0.792,1.03,3.66,5.31,2.97,0,1.84,2.84,20.59,1,0,0.467,1.87,1.04,0.3,30,2,0.938,4.32,3.11,7.44,0.584,0.549,31.39,165.7,2.02,1.34,118.2,88.1,27.91,72,190,74.5,4,22.30800821,NBA,7.28,4.33,11.61,35.81
Taj-Gibson,2,1,63.7,110.02,91.76,242,2009,35,35,33.7,0.601,0,0,3.43,0.659,3.51,5.51,1.26,0.97,2.86,2.94,2.06,14.29,15,0,0.268,0.61,0.47,0.58,22,13,0.629,3.92,2.7,6.62,0.621,0.601,21.05,126.06,3.71,1.58,121.1,92,25.4,81,236,88,3,23.93702943,NBA,2.72,7.85,10.57,30.28
Isaiah-Canaan,1,2,64.98,108.53,93.19,230,2012,33,33,33.7,0.468,2.97,0.456,4.67,0.837,0.82,2.64,3.64,1.36,0.06,1.7,2.7,18.97,0,0,0.379,1.35,0.51,0.46,31,2,0.939,5.71,1.91,7.61,0.642,0.59,27.02,176.03,0.83,1.56,125.9,94,25.53,72,201,76.5,4,22.03148528,NBA,1.79,1.51,3.29,23.49
Maalik-Wayns,1,1,67.38,109.15,100.65,76,2012,29,27,33.7,0.414,1.55,0.298,4.86,0.892,0.55,3.24,4.59,0.97,0.03,2.72,2.97,17.59,1,0,0.423,1.55,0.33,0.4,13,16,0.448,3.56,0.56,4.12,0.547,0.472,27.63,160.47,0.27,1.3,113.3,105.3,20.25,73,195,75.5,3,21.08418891,NBA,0.97,0.05,0.97,7.03
Gary-Forbes,2,2,74.64,110.45,97.35,21,2008,36,36,33.7,0.407,1.58,0.292,4.86,0.72,1.81,5.69,3.03,1.14,0.69,2.42,3.17,19.39,9,0,0.34,0.96,0.36,0.42,25,11,0.694,2.32,1.9,4.23,0.508,0.457,30.01,141.98,3.02,1.22,103.1,99.5,19.42,79,220,83.25,4,23.26351814,NBA,0.43,1.05,1.48,24.96
Zabian-Dowdell,1,1,63.69,112.38,95,38,2007,34,33,33.7,0.462,1.29,0.386,4.53,0.806,0.79,2.79,3.12,2.09,0.21,1.53,1.97,17.41,0,0,0.342,1.58,1.06,0.45,22,12,0.647,4.17,2.15,6.32,0.573,0.514,26.78,165.47,0.33,1.39,118.4,96.8,24.52,75,191,82,4,22.72142368,NBA,0.36,0.25,0.11,11.77
David-Noel,2,1,70.18,115.85,93.69,2,2006,31,26,33.7,0.532,1.26,0.424,1.45,0.625,2.45,6.26,3.45,1.1,0.74,2.71,3.1,12.9,9,0,0.307,1.11,0.35,0.24,23,8,0.742,1.88,2.3,4.18,0.604,0.598,19.03,158.09,2.19,1.35,108,93.3,17.81,78,230,81.5,4,22.2587269,NBA,0.11,0.27,0.39,8.85
Dominic-Waters,1,2,65.94,113.29,114.22,84,2010,32,32,33.7,0.485,2.19,0.424,4.31,0.902,0.28,2,4.72,0.78,0.03,2.56,3.53,18.56,0,0,0.387,1.34,0.22,0.38,13,19,0.406,4.42,0.24,4.18,0.631,0.573,27.02,181.11,1.16,1.49,119,117.4,21.56,73,180,74.5,4,23.67419576,International,0,0,0,0
Mark-Payne,1,2,66.36,100.97,106.73,112,2010,24,24,33.7,0.518,0.92,0.458,5.04,0.834,1,2.96,4.38,2.08,0.38,0.96,2.58,15.62,0,0,0.385,1.69,0.81,0.65,11,13,0.458,3.13,1.3,4.43,0.64,0.567,22.21,181.07,1.01,1.67,122.9,99.1,24.12,80,205,77.5,5,22.954141,International,0,0,0,0
Vlad-Moldoveanu,2,2,60.31,104.07,104.71,245,2011,30,30,33.7,0.437,2,0.368,5.3,0.824,1.63,4.8,1.97,0.37,0.47,2.3,1.9,20.37,3,0,0.368,1.04,0.19,0.43,22,8,0.733,4.05,1.35,5.4,0.565,0.503,33.53,162.85,1.89,1.36,116.1,102.1,25.08,82,223,81.5,4,24.30390144,International,0,0,0,0
Justin-Hurtt,1,2,65.67,107.14,100.22,305,2011,32,32,33.7,0.417,2.69,0.368,4.44,0.811,0.5,3.28,2.41,0.5,0.22,1.66,2.75,20,0,0,0.376,0.88,0.18,0.35,19,13,0.594,3.36,1.2,4.56,0.554,0.504,31.84,159.6,3.43,1.3,111.1,104.4,20.38,77,205,79,4,22.65845311,International,0,0,0,0
JeKel-Foster,1,1,65.21,113.01,92.33,103,2006,32,32,33.7,0.443,2.41,0.401,1.75,0.8,0.66,3.69,3.09,2.25,0.16,2.19,1.94,12.22,1,0,0.274,1.6,1.16,0.24,26,6,0.812,2.57,2.47,5.05,0.603,0.576,18.91,164.43,0.38,1.34,115.8,92.3,18.44,75,210,81.75,2,22.86105407,International,0,0,0,0
Shan-Foster,2,1,68.23,112.26,99.61,264,2008,34,34,33.7,0.523,3.94,0.469,2.15,0.76,1.15,3.76,1.68,1.06,0.24,1.94,1.71,20.24,1,0,0.322,0.98,0.62,0.21,26,8,0.765,4.62,1.37,5.99,0.676,0.667,24.2,175.16,1.64,1.49,127.8,103.3,23.87,78,195,83.5,4,21.78234086,International,0,0,0,0
Wendell-McKines,2,2,69.42,109.28,98.06,346,2012,35,35,33.7,0.461,1.46,0.352,3.89,0.76,3.37,7.29,1.54,0.77,0.37,2.29,2,18.66,20,0,0.309,0.77,0.39,0.35,25,10,0.714,4.89,1.94,6.83,0.553,0.512,26.31,157.29,2.78,1.29,119.9,94.7,24.49,78,230,80.75,5,23.78644764,International,0,0,0,0
Brandon-Bowman,2,1,59.22,112.24,99.79,66,2005,31,31,33.7,0.509,1.71,0.366,2.65,0.713,1.58,4.55,2.19,1.29,0.94,2.52,2.23,15.39,4,0,0.334,0.99,0.58,0.34,18,13,0.581,2.92,2.1,5.02,0.611,0.588,24.92,158.75,2.45,1.42,117.2,98.1,22.17,81,223,83.5,4,21.62628337,International,0,0,0,0
Carlos-Powell,2,1,63.99,110.24,97.51,262,2005,33,33,33.7,0.53,0.18,0.188,3.33,0.683,1.91,4.64,1.58,1.27,0.48,2.33,1.94,16.36,6,0,0.31,0.81,0.66,0.4,20,13,0.606,2.85,2.19,5.04,0.567,0.537,25.34,140.07,2.68,1.35,114.5,98.5,21.69,79,225,82.75,4,21.75770021,International,0,0,0,0
Demonte-Harper,1,2,63.36,105.61,98.6,229,2011,35,35,33.7,0.431,1.6,0.373,2.51,0.662,1.29,3.69,3.43,1.54,0.29,2.83,3.89,15.46,4,0,0.374,0.88,0.4,0.29,25,10,0.714,1.92,2.44,4.36,0.518,0.492,28.74,146.64,5.1,1.18,101.2,94.8,17.48,76,195,79.5,4,21.94387406,International,0,0,0,0
Chris-Paul,1,1,70.4,121.59,99.9,39,2004,31,30,33.6,0.494,1.29,0.465,4.84,0.843,0.68,2.58,5.9,2.71,0.39,2.61,2.65,14.84,0,0,0.364,2.23,1.02,0.67,21,10,0.677,3.91,1.56,5.46,0.654,0.569,19.72,180.22,3.56,1.72,128.6,102.4,22.55,72,175,76.25,2,20.07118412,NBA,26.71,9.32,36.03,58.18
Patrick-Patterson,2,1,66.58,107.81,93.19,258,2009,34,34,33.6,0.605,0,0,3.79,0.768,2.71,6.59,1.94,0.62,2.06,2.24,1.88,17.91,15,0,0.346,1.03,0.33,0.42,21,13,0.618,4.74,2.65,7.39,0.639,0.605,23.43,137.24,1.66,1.53,127,91.7,26.79,81,230,86,3,21.21560575,NBA,5.37,1.36,6.73,30.45
Brandon-Bass,3,1,66.72,113.86,100.06,259,2005,30,30,33.6,0.567,0.4,0.462,4.87,0.777,2.73,6.33,0.83,0.8,1.6,2.43,1.8,17.33,12,0,0.265,0.46,0.44,0.59,20,10,0.667,3.67,1.71,5.38,0.637,0.586,23.3,180.55,3.6,1.63,126.8,101.3,24.58,80,250,86.5,2,20.08761123,NBA,4.9,3.26,8.16,32.3
TJ-Ford,1,1,69.38,119.3,95.82,60,2003,33,33,33.6,0.401,0.55,0.265,4.82,0.824,0.64,3.24,7.7,2,0.15,2.52,3.24,15,5,0,0.451,2.37,0.62,0.49,26,7,0.788,3.36,1.93,5.29,0.506,0.423,24.66,148.9,5.41,1.25,112.5,97,20.61,72,165,71.5,2,20.1889117,NBA,4.58,4.21,8.79,34.64
John-Jenkins,1,1,64.74,115.64,94.74,264,2012,35,35,33.6,0.474,3.83,0.439,3.66,0.837,0.46,2.43,1.2,0.83,0.31,1.2,1.57,19.89,0,0,0.303,0.76,0.53,0.33,24,11,0.686,5.97,1.01,6.98,0.656,0.62,26.25,174.97,2.39,1.52,129.9,102.4,25.11,76,215,80.5,3,21.24024641,NBA,1.68,0.72,2.41,28.64
Sundiata-Gaines,1,1,64.73,104.25,96.17,257,2008,34,34,33.6,0.414,1.26,0.301,3.21,0.606,2.12,3.88,4.21,1.79,0.09,2.44,2.62,14.76,3,0,0.379,1.61,0.69,0.43,17,17,0.5,2.66,2.03,4.69,0.494,0.465,25.98,132,0.57,1.19,107.4,97.5,20.22,73,195,78,4,22.12183436,NBA,0.27,0.47,0.73,32.23
Coby-Karl,2,2,69.81,101.79,100.01,340,2006,29,29,33.6,0.427,2.41,0.395,4.45,0.796,0.76,4.31,4.03,1.03,0.48,2.79,3.62,17.21,2,0,0.359,1.11,0.29,0.46,14,15,0.483,2.37,1.7,4.07,0.583,0.527,26.95,161.91,2.65,1.42,108,97.8,19,77,215,84,4,24.23819302,NBA,0.26,0.25,0.31,21.11
Darington-Hobson,2,2,67.4,113.59,97.4,210,2010,35,35,33.6,0.44,1.11,0.361,3.71,0.653,2.11,7.14,4.57,1.26,0.43,1.94,2.97,15.86,14,0,0.398,1.54,0.42,0.45,30,5,0.857,3.08,2.35,5.43,0.52,0.484,26.93,145.4,0.23,1.26,108.8,95.2,22.46,79,210,81.25,1,22.67214237,NBA,0.19,0.02,0.21,2.85
Kim-English,1,1,65.35,125.07,99.78,56,2012,35,34,33.6,0.521,2.23,0.459,2.49,0.725,0.86,3.37,1.6,1.29,0.29,2.34,1.69,14.49,0,0,0.231,0.95,0.76,0.37,30,5,0.857,4.1,1.19,5.28,0.658,0.64,20.03,170.52,1.89,1.55,124,101,19.88,78,200,79.5,4,23.68514716,NBA,0.08,0.18,0.1,7.71
Hollis-Price,1,1,62.72,112.07,89.06,4,2003,34,34,33.6,0.453,2.76,0.433,3.82,0.929,0.47,2.26,2.82,1.59,0.18,1.91,2.03,18,0,0,0.34,1.39,0.78,0.33,27,7,0.794,4.92,2.29,7.22,0.619,0.563,25.91,181.5,0.47,1.43,124.9,94.3,23.63,73,172,76.5,4,23.58932238,International,0,0,0,0
Brendan-Winters,2,2,66.26,103.61,102.05,269,2004,29,29,33.6,0.423,2.59,0.385,4.41,0.837,1.66,3.41,2.31,0.93,0.1,1.72,2.24,17.83,1,0,0.306,1.03,0.42,0.42,17,12,0.586,3.41,1.6,5.01,0.589,0.526,25.76,164.47,2.12,1.41,120.4,100.9,20.93,77,205,77.75,4,23.06365503,International,0,0,0,0
Pat-Calathes,3,2,63.98,115.1,100.77,24,2008,34,34,33.6,0.448,2.18,0.4,4.18,0.826,1.94,5.56,2.71,1.24,1.24,2.71,2.29,17.47,7,0,0.316,1.18,0.54,0.41,21,13,0.618,4.14,1.57,5.7,0.59,0.536,27.22,167.34,1.45,1.41,118.4,101.5,24.36,82,210,82.5,4,22.46954141,International,0,0,0,0
Joe-Crawford,1,1,62.38,107.82,97.81,258,2008,30,22,33.6,0.469,2.1,0.364,3.3,0.762,1.03,2.6,2.13,0.57,0.17,2.7,2.77,17.93,0,0,0.355,0.77,0.2,0.32,17,13,0.567,2.77,1.16,3.94,0.581,0.547,29.03,159.45,4.09,1.34,110.4,103.7,18.72,77,207,77.75,4,21.95756331,NBA,0,0.04,0.03,11.97
Mike-Green,1,2,59.52,116.19,96.21,145,2008,34,34,33.6,0.431,0.97,0.371,5.35,0.758,1.21,5.26,5.06,1.29,0.12,2.47,2.94,14.62,4,0,0.403,1.72,0.44,0.73,30,4,0.882,4.11,2.51,6.62,0.563,0.482,27.38,156.03,1.44,1.52,115.2,93.2,23.35,73,183,77.75,4,22.94045175,International,0,0,0,0
Papa-Dia,3,2,59.51,103.52,103.1,303,2011,35,34,33.6,0.577,0.37,0.433,4,0.753,2.97,6.6,1.8,0.66,2.2,3.11,3.57,18.26,16,0,0.388,0.5,0.18,0.44,20,15,0.571,4.13,2.78,6.91,0.627,0.593,32.28,176.32,8.1,1.52,111.5,91.8,28.41,81,235,86.5,4,24.30663929,International,0,0,0,0
Alan-Wiggins-Jr,2,2,64.15,103.46,103.18,338,2006,28,28,33.6,0.527,0.07,0.2,3.61,0.682,2.96,5.36,1.32,1.07,2,3.14,2.5,14.11,7,0,0.257,0.53,0.43,0.53,11,17,0.393,2.01,1.5,3.51,0.569,0.531,22.2,140.95,4.78,1.43,109.3,99.4,20.47,80,225,82,4,22.86652977,International,0,0,0,0
Mike-Glover,2,2,69.99,115.51,103.24,166,2012,33,33,33.6,0.637,0,0,3.82,0.649,3.21,5.79,0.97,1,1.15,2.94,2.67,18.3,13,0,0.265,0.36,0.38,0.52,25,8,0.758,4.15,1.45,5.6,0.646,0.637,24.41,128.68,5.73,1.61,118.4,98,24.5,79,215,81,2,24.75017112,International,0,0,0,0
Kirk-Hinrich,1,1,72.19,115.04,86.41,54,2003,37,37,33.5,0.475,2.41,0.406,2.38,0.704,1.03,2.73,3.51,1.86,0.43,2.11,2.24,17.32,0,0,0.316,1.57,0.83,0.26,29,8,0.784,4.21,2.7,6.91,0.586,0.567,22.91,158.58,0.28,1.31,119.8,92.7,21.12,76,190,78,4,22.40930869,NBA,9.51,7.86,17.37,32.26
Delonte-West,1,2,66.12,118.88,91.22,24,2004,32,32,33.5,0.51,1.75,0.412,3.88,0.892,1.19,4.19,4.75,1.72,0.19,1.88,2.56,18.88,2,0,0.42,1.85,0.67,0.33,30,2,0.938,4.63,2.73,7.36,0.627,0.577,27.14,181.35,1.76,1.45,124.4,91.6,26.15,75,180,78,3,20.85147159,NBA,5.47,3.71,9.17,28.74
Morris-Almond,2,2,65.77,103.3,105.15,302,2007,32,32,33.5,0.483,2.41,0.456,7.53,0.846,1.34,5.22,1.16,1.19,0.75,2.12,3.41,26.38,7,0,0.393,0.34,0.35,0.52,16,16,0.5,4.94,1.87,6.82,0.621,0.554,38.07,178.47,8.03,1.55,116.2,98.1,31.06,78,220,82,4,22.32443532,NBA,0.19,0.47,0.29,15.81
Edwin-Ubiles,2,2,67.59,108.64,100.65,173,2008,34,33,33.5,0.526,1,0.42,2.38,0.704,1.38,2.97,1.68,1.21,0.97,1.41,1.62,16.97,1,0,0.31,1.04,0.75,0.26,23,11,0.676,3.39,1.4,4.79,0.584,0.565,23.71,165.03,1.43,1.31,116.8,102.9,21.4,78,205,82,4,23.51266256,NBA,0.06,0.07,0.01,7.99
Christian-Maraker,3,2,62.78,109.83,98.96,111,2006,32,32,33.5,0.496,0.94,0.33,3.88,0.849,2.06,6.88,2.12,0.84,0.66,2.25,2.59,17.62,16,0,0.318,0.82,0.33,0.35,24,8,0.75,3.63,2.71,6.34,0.585,0.533,27.94,167.54,3.7,1.37,114.8,90,24.47,81,240,84,4,23.68514716,International,0,0,0,0
Yemi-Nicholson,3,2,64.14,98.53,99.56,321,2006,31,29,33.5,0.603,0,0,4.52,0.749,2.87,8.06,0.9,0.94,2.84,2.48,2.13,19.87,15,0,0.368,0.42,0.44,0.47,16,15,0.516,4.29,2.78,7.07,0.637,0.603,28,135.12,4.57,1.56,121.7,88.5,30.91,83,260,88.25,3,22.97878166,International,0,0,0,0
Lazeric-Jones,1,1,64.66,108.77,96.92,241,2012,33,32,33.5,0.431,1.45,0.378,2.58,0.739,0.55,3,4.09,1.85,0.18,2.09,2.58,13.55,0,0,0.344,1.59,0.72,0.32,19,14,0.576,2.55,1.64,4.19,0.534,0.497,23.85,154.84,0.47,1.23,105.9,96.3,18.25,72,185,79.25,2,21.80698152,International,0,0,0,0
John-Bowler,3,2,65.36,100.03,109.37,182,2006,28,28,33.5,0.549,0.07,0.286,6.54,0.723,3.25,7.5,2.5,0.79,0.57,3.29,3.79,20.11,17,0,0.416,0.66,0.21,0.74,7,21,0.25,3.45,1.21,4.67,0.606,0.552,32.03,155.85,6.4,1.64,113.4,102.4,26.55,80,255,82.5,4,22.15742642,International,0,0,0,0
Marcus-Slaughter,3,2,66.36,105.93,105.4,5,2005,27,27,33.5,0.469,0.33,0.231,5.22,0.698,3.37,5.59,1.3,1.37,1.11,3.22,3.11,17.78,10,0,0.306,0.42,0.44,0.57,11,16,0.407,1.81,0.17,1.98,0.536,0.482,29.4,139.75,8.6,1.36,104.4,117,28.67,81,230,83.5,3,21.20465435,International,0,0,0,0
Sammy-Mejia,2,1,62.45,111.54,96.27,65,2007,34,34,33.5,0.481,1.24,0.353,1.82,0.602,2.18,3.76,2.62,1.03,0.12,2.12,1.91,14.12,2,0,0.321,1.37,0.54,0.26,20,14,0.588,2.86,1.61,4.48,0.546,0.535,23.9,143.57,0.53,1.23,111.6,101.4,19.69,78,190,83.25,4,24.31211499,International,0,0,0,0
Ben-Gordon,1,1,71.2,111.57,92.03,64,2003,33,33,33.4,0.443,2.42,0.423,4.33,0.808,0.88,3.3,4.73,1.15,0.21,2.18,3.42,19.55,1,0,0.381,1.38,0.34,0.37,23,10,0.697,4.08,1.68,5.75,0.576,0.527,27.88,167.45,0.75,1.36,116.9,99.2,21.13,75,200,80.5,3,21.16084873,NBA,9.89,5.28,15.19,35.01
DeMar-DeRozan,2,1,63.7,110.02,91.76,242,2009,35,35,33.4,0.523,0.17,0.167,2.71,0.651,2.4,3.34,1.46,0.89,0.37,2.09,2.09,13.86,4,0,0.279,0.7,0.42,0.4,22,13,0.629,2.79,1.75,4.54,0.556,0.531,22.82,134.05,3.42,1.32,111.2,99.9,18.46,79,221,81,1,19.816564,NBA,8.98,4.38,13.35,32.98
Jason-Kapono,2,1,69.33,107.18,101.73,241,2003,29,29,33.4,0.457,2.21,0.398,2.79,0.88,1.79,3.41,2.03,0.59,0,2.24,2.1,16.79,2,0,0.285,0.97,0.28,0.25,10,19,0.345,2.92,0.54,3.46,0.583,0.543,23.38,173.52,2.08,1.3,116.6,108.8,18.07,80,213,78.5,4,22.31895962,NBA,3.84,1.99,5.81,24.34
Cory-Higgins,1,1,67.02,113.08,104.46,52,2010,31,31,33.4,0.505,1.03,0.356,5.45,0.833,0.65,3.23,2.35,1.94,0.35,2.48,2.32,18.94,0,0,0.344,1.01,0.83,0.53,15,16,0.484,3.74,1.11,4.84,0.613,0.547,27.88,169.33,2.23,1.54,116.9,104.5,23.94,77,181,80,4,21.96303901,NBA,1.3,0.19,1.43,17.16
Tyshawn-Taylor,1,1,66.29,114.05,87.14,54,2012,39,38,33.4,0.477,1.49,0.382,3.51,0.688,0.21,2.13,4.77,1.33,0.15,1.97,3.54,16.59,1,0,0.403,1.35,0.38,0.42,32,7,0.821,3.62,1.93,5.56,0.569,0.538,27.54,154.68,1.09,1.36,106.7,96.2,19.16,75,185,78.25,4,22.13826146,NBA,1.26,0.36,0.9,11.88
Ian-Clark,1,2,65.86,111.55,96.64,40,2013,33,33,33.4,0.542,3.09,0.459,1.97,0.833,0.36,2.91,2.33,1.61,0.24,1.94,2.67,18.21,0,0,0.325,0.88,0.6,0.2,26,7,0.788,3.95,1.8,5.75,0.688,0.67,24.57,183.53,3.24,1.5,119.9,96.5,22.83,75,175,78.5,4,22.23682409,NBA,0.49,0.63,1,20.37
Manny-Atkins,2,2,64.26,115.6,104.32,119,2014,34,34,33.4,0.471,2.21,0.434,3.18,0.824,0.91,5.21,1.41,1.35,0.71,2.29,1.26,14.32,4,0,0.222,1.12,1.07,0.41,25,9,0.735,3.43,1.83,5.26,0.632,0.587,20.41,172.85,0.99,1.51,124.6,100.4,20.83,78,205,80.5,4,23.34291581,International,0,0,0,0
