Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
Landry-Fields,2,1,66.31,106.46,99.71,240,2010,32,32,36.2,0.49,0.91,0.337,5.59,0.696,2.53,6.22,2.78,1.59,0.78,2.03,2.59,22,13,0,0.433,1.07,0.61,0.51,14,18,0.438,4.26,1.97,6.22,0.56,0.519,31.56,152.38,2.03,1.39,113.8,98.2,27.39,79,210,81.5,4,21.92744695,NBA,4.22,4.26,8.48,25.62
Rawle-Marshall,2,2,65.2,108.09,109.29,313,2005,32,31,36.2,0.44,1.22,0.275,5.53,0.731,2.66,5.03,2.19,1.84,1.25,2.34,3.19,19.88,8,0,0.348,0.69,0.58,0.51,13,19,0.406,2.57,0.28,2.3,0.537,0.481,30.88,144.63,5.84,1.33,106.1,121.4,27.85,79,190,85,4,23.27720739,NBA,0.34,0.39,0.13,16.75
Derek-Raivio,1,2,67.09,115.31,100,332,2007,34,34,36.2,0.453,2.5,0.409,4.35,0.961,0.65,2.47,2.62,1.47,0.03,1.65,1.79,18.03,0,0,0.299,1.46,0.82,0.37,23,11,0.676,4.71,1.62,6.33,0.623,0.555,22.51,182.32,0.13,1.46,127.1,102.4,20.74,74,180,74.25,4,22.55715264,International,0,0,0,0
Jamar-Butler,1,1,63.97,110.22,92.43,103,2008,37,36,36.2,0.431,2.81,0.384,2.22,0.943,0.35,2.59,5.95,1.3,0.03,1.27,2.68,14.97,4,0,0.425,2.22,0.48,0.2,24,13,0.649,4.32,2.01,6.33,0.591,0.553,22.32,175.72,3.69,1.3,118.3,100.2,19.71,73,185,77.25,4,22.67761807,International,0,0,0,0
DaShaun-Wood,1,2,62.98,104.47,97.81,153,2007,33,33,36.2,0.435,1.79,0.373,4.33,0.883,1.06,4,3.97,1.94,0.18,1.79,2.55,19.64,1,0,0.462,1.56,0.76,0.32,23,10,0.697,4.07,2.38,6.45,0.549,0.492,31.16,169.08,0.3,1.26,112.8,95.7,25.48,73,180,73.75,4,21.67008898,International,0,0,0,0
Gerry-McNamara,1,1,65.75,113.06,96.72,382,2004,31,31,36.2,0.379,3.39,0.389,3.97,0.872,0.35,2.23,3.81,1.68,0.03,2.06,2.55,17.23,0,0,0.313,1.49,0.66,0.37,23,8,0.742,3.07,1.37,4.44,0.593,0.516,23.36,163.98,0.03,1.39,116.8,105.2,18.09,74,182,72.25,4,22.75975359,International,0,0,0,0
Jaleen-Smith,1,2,65.44,102.35,103.15,11,2017,32,32,36.2,0.466,1.5,0.358,3.12,0.781,1.31,5.09,4.28,0.91,0.62,2.66,2.97,15.81,6,1,0.404,1.44,0.31,0.33,20,12,0.625,2.77,2.24,5.01,0.569,0.529,24.38,160.56,0.33,1.32,110.9,96.2,18.94,76,205,84,4,22.51882272,International,0,0,0,0
Kareem-Jamar,2,2,59.8,107.43,111.88,80,2014,30,30,36.2,0.473,1.5,0.352,5.2,0.712,0.83,4.8,4.03,0.9,0.5,2.47,2.23,18.83,4,0,0.431,1.81,0.4,0.57,17,13,0.567,4.04,0.95,4.98,0.578,0.531,30,153.66,1.37,1.47,118,108.2,24.09,77,210,79,4,21.62354552,International,0,0,0,0
Maurice-Harkless,2,1,66.21,103.88,102.69,75,2012,32,30,36.1,0.451,0.53,0.215,2.97,0.683,2.72,5.94,1.47,1.59,1.41,2.31,2.5,15.47,11,0,0.316,0.59,0.64,0.33,13,19,0.406,2.21,1.25,3.46,0.503,0.471,24.84,134.93,4.26,1.16,102.2,100.2,20.25,81,220,84,1,19.05817933,NBA,3.97,2.86,6.83,26.28
John-Lucas,1,1,66.23,121.2,96.18,59,2005,33,33,36.1,0.451,3.03,0.431,2.3,0.905,0.58,1.91,4.09,1.09,0.03,1.76,1.61,17.7,1,0,0.373,2.55,0.68,0.19,26,7,0.788,4.55,1.86,6.4,0.594,0.562,23.28,178.71,3.08,1.29,128.4,102.8,20.04,71,166,72,4,22.52703628,NBA,1.94,1.23,3.18,29.29
